	Organism	hpd_2.5	hpd_97.5	mc_error	mean	n_peptides	sd
A0AVT1;A0AVT1-2	Homo sapiens	-0.1586543784725129	0.11435210760903765	0.0028642460948373237	0.0049721007369513395	2.0	0.06546662244567894
A2A2V2;P42696	Homo sapiens	-0.10009115261178003	0.15303853190816394	0.0032820744014691893	0.029231602481997732	2.0	0.06381550257822008
A6NJ78	Homo sapiens	0.8461034822831228	1.3572154364638722	0.0063106207103009355	1.1085643494354216	2.0	0.13911288685610082
A6NKE1;A6NDN0;O43617	Homo sapiens	0.05411945779487637	0.35916448578337723	0.003383664822317073	0.1902480634673536	2.0	0.08302467260119081
B2WTI4;Q6NYC1-2;Q6NYC1;Q6NYC1-3	Homo sapiens	-0.08292992123436971	0.12153050368453755	0.002632215742988061	0.0062579262603398465	2.0	0.05708275020476795
B4DHE8;Q96DH6-2;Q96DH6	Homo sapiens	-0.2911286930404009	0.1849541026712229	0.005516614006342204	-0.02297428360162015	2.0	0.11836460039932152
B4DJV2;O75390	Homo sapiens	-0.13420718824411287	0.28008701300400984	0.00422788987714152	0.02269033696146752	2.0	0.09822726345162283
B4DWA1;F8W878;Q9UQB8-3;Q9UQB8-5;Q9UQB8-4;Q9UQB8-6;Q9UQB8-2;Q9UQB8;I3L4C2;I3L3C6	Homo sapiens	-0.09280411266687363	0.5073297590285338	0.0065907289195471	0.13083264312840653	2.0	0.15617784218632735
B7WP74;Q9HCG8;B7WP27	Homo sapiens	-0.03657557741381637	0.12133568743264266	0.0017939465963939933	0.026826943931182137	2.0	0.04591712685551918
B7ZC39;Q9NR46;B7ZC38;Q9NR46-2;F6RPD3	Homo sapiens	-0.13426525781275792	0.3536757503891195	0.005289854944151229	0.08443079115156127	2.0	0.11680841099073505
C9J2I0;P52594-2;B8ZZY2;P52594-3;P52594;F5GYJ2;E9PHX7	Homo sapiens	-0.0634341189525262	0.11298504114848228	0.0018945836419483031	0.009297913215753573	2.0	0.04248568338244795
C9J5J4;Q5TKA1-3;H7C4T7;Q5TKA1;Q5TKA1-2;H0Y322	Homo sapiens	-0.11951802899969174	0.22657530854512434	0.0035499921604756146	0.02989781860184325	2.0	0.08309603190907526
C9J9K3;P08865	Homo sapiens	1.248735232028742	1.8289214284862512	0.006331329813642382	1.536580227020156	2.0	0.1548186314965138
C9JGI3;P19971;H9KVA0	Homo sapiens	-0.08651382242066391	0.1416293846086341	0.002422271788859797	0.021388516478199428	2.0	0.06623944214310698
C9JN15;Q13427-2;Q32LZ0;E9PG73;Q13427;C9JM79	Homo sapiens	-0.20937927751908136	0.405050786081245	0.008282082325022096	0.05949860302821455	2.0	0.17905807731842974
C9JP00;Q9NR56;Q86VM6	Homo sapiens	0.4268702124767741	0.6333744393757337	0.002310285589400795	0.5251477660947872	2.0	0.0536418289950458
C9JYN0;Q16563-2;Q16563	Homo sapiens	-0.14569104181688242	0.02114671307584368	0.0019445750552227032	-0.04466482807809971	2.0	0.044279308955245886
D6RAN8;H7C5U8;Q9P0M9	Homo sapiens	-0.12226443287115295	0.14416580092507986	0.0032138729242595482	0.0038381868156592493	2.0	0.07230491152749292
D6RBZ3;E9PD39;Q5HYJ1	Homo sapiens	-0.32682741242390073	0.4814074556450536	0.0076395490099605045	0.08486191058274124	2.0	0.19663313999325094
D6RCD0;Q8NBQ5	Homo sapiens	-0.1053485195486102	0.05834996589775353	0.0017518324045750476	-0.0011246937767952806	2.0	0.03995908227703604
