	mean	sd	mc_error	hpd_2.5	hpd_97.5
P17275	0.024138388199698355	0.03373756071437725	0.0012969288153703096	-0.025666169040438308	0.11537550576008064
P57740;G3V1T4	-0.13519542530756434	0.05540610261642297	0.002327578141935007	-0.24022446954698262	-0.028212198348336714
Q9H0U4;E9PLD0	0.30345537371136777	0.13111952592959009	0.00635138138127528	0.09574630477953985	0.5813283186503664
P52569;P52569-3;P52569-2	0.45660462693592685	0.1809720031215479	0.009014415184009764	0.12873170339090984	0.795744413260297
P39298	1.868893590455963	0.11390068559909175	0.005006211601212232	1.6255162913474959	2.066140369708815
Q9UKY1	0.026662876099200164	0.1922399894701467	0.007679867268349999	-0.35934216276864805	0.48906845712519037
Q9Y3D0	0.731744908746372	0.34041936451493865	0.016123430265152942	0.1777885744222692	1.4322563235044106
P69228	1.541032010857673	0.10068885470811141	0.004611348267042657	1.3498763947993533	1.744806237671464
O00148	0.2888539339138372	0.11347340282995717	0.005101664092787792	0.10302127210153394	0.5415143668891028
P23003	1.1193121438999487	0.13918369601637123	0.006885338815869918	0.8490713470168598	1.3815482758201516
