Proteins	taxon
Q86U42-2;Q86U42	Homo sapiens
P37108	Homo sapiens
Q96JP5-2;H9KV86;Q96JP5	Homo sapiens
E7EWF1;P36578;H3BM89;H3BU31	Homo sapiens
Q96P70	Homo sapiens
P28482;A8CZ64	Homo sapiens
B3KW71;P09417;B7Z415;D6RGG7;D6RHJ7	Homo sapiens
Q8WVM8;G3V4I1;G3V5F3;G3V3K9	Homo sapiens
Q86X55-1;Q86X55;Q86X55-2	Homo sapiens
O00410;O00410-3;B4E0R6;E7ETV3;E7EQT5;H7C609;E7EV12;C9JZD8;E7EWK4;E7EX05;C9JQT6;E7ESA1;E7ESZ1;E7ETV8;C9J875;C9JXE0;C9J5I6	Homo sapiens
Q9Y2Z0;Q9Y2Z0-2	Homo sapiens
Q7L5D6	Homo sapiens
Q9Y2U8	Homo sapiens
Q5VYK3	Homo sapiens
Q9BTD8-4;Q9BTD8-2;Q9BTD8-3;Q9BTD8	Homo sapiens
Q9P258	Homo sapiens
O43324;C9JLK5;D6RBD7;C9J1V9	Homo sapiens
Q96KQ7-2;B0UZY3;Q96KQ7;Q96KQ7-3	Homo sapiens
Q92922;F8WE13	Homo sapiens
Q00796;B7Z3A6;H0YKB3	Homo sapiens
Q12972;E7EVD4	Homo sapiens
Q9UPT8	Homo sapiens
Q96L91-3;Q96L91-5;Q96L91-2;Q96L91	Homo sapiens
P00959	Escherichia coli (strain K12)
Q96K37	Homo sapiens
P0AEQ1	Escherichia coli (strain K12)
E9PL01;Q15005;E9PI68	Homo sapiens
Q8N1G4	Homo sapiens
P49914;H3BN04	Homo sapiens
Q8WWH5	Homo sapiens
O00231	Homo sapiens
Q8NI27;F2Z2V2	Homo sapiens
P25738	Escherichia coli (strain K12)
B4DDF7;P30153;B4E1Q0;C9J9C1	Homo sapiens
P00452;P00452-2	Escherichia coli (strain K12)
P0AEG4	Escherichia coli (strain K12)
P30260;G3V1C4;B4DL80	Homo sapiens
O15042-2;O15042;E7ET15;H0Y8D9;E7EW00;C9JDJ7;C9J5L1	Homo sapiens
Q01780;Q01780-2	Homo sapiens
P0A8I8	Escherichia coli (strain K12)
P0A8T7	Escherichia coli (strain K12)
Q13523	Homo sapiens
P02786;G3V0E5;F5H6B1;H7C3V5	Homo sapiens
P07954-2;P07954	Homo sapiens
P0A7J3	Escherichia coli (strain K12)
Q9BQG0;Q9BQG0-2;I3L1L3	Homo sapiens
Q96S52	Homo sapiens
Q9H3U1-2;Q9H3U1;Q9H3U1-3	Homo sapiens
P0A9Q7	Escherichia coli (strain K12)
Q14008;Q14008-3;Q14008-2	Homo sapiens
P31948;F5H0T1;G3XAD8;H0YGI8	Homo sapiens
P31948;G3XAD8;F5H783;F5GXD8	Homo sapiens
P08107;H0YG33;F8VZJ4;F5H1D3;F5GZ62;E7EP94;Q5SP16;E7EP11	Homo sapiens
O60716-16;O60716-15;O60716-13;O60716-11;O60716-14;O60716-12;O60716-10;O60716-8;O60716-9;E9PIE5;O60716-7;O60716-5;C9JZR2;O60716-3;O60716-6;F8WA43;O60716-4;O60716-2;O60716;O60716-32;O60716-31;O60716-29;O60716-27;O60716-30;O60716-28;O60716-26;O60716-25;O60716-24;O60716-23;O60716-21;O60716-19;O60716-22;O60716-20;O60716-18;O60716-17	Homo sapiens
Q14498-2;Q14498;Q14498-3;G3XAC6;E1P5S2;H0Y4X3	Homo sapiens
P29375-2;F5H1F7;P29375	Homo sapiens
P26641;B4DTG2	Homo sapiens
P31350;C9JXC1;H0Y855	Homo sapiens
P76576	Escherichia coli (strain K12)
O95801;Q5TA95	Homo sapiens
P0AET8	Escherichia coli (strain K12)
Q7Z5L9-2;Q7Z5L9	Homo sapiens
Q9NWH9;H7BXE3;H0YLW7;H0YMW8;H0YNF3;H0YMR6;H0YLE6;H0YL55	Homo sapiens
P12955-2;P12955;E9PCE8	Homo sapiens
P16659	Escherichia coli (strain K12)
P0ABQ0	Escherichia coli (strain K12)
Q9NS69	Homo sapiens
P10121	Escherichia coli (strain K12)
Q8IZL8;C9JFV4;Q8IZL8-2;F8WDZ1;I3L4M7	Homo sapiens
P13995	Homo sapiens
P17858;P17858-2;E9PDI3	Homo sapiens
Q9H7E9;Q9H7E9-2	Homo sapiens
O95989;Q96G61;Q8NFP7;Q9NZJ9;Q9NZJ9-2	Homo sapiens
Q8TDX7;F8WAG2;Q8TDX7-2	Homo sapiens
Q01813;H0Y3P8;Q5VSR7;Q5VSR5;Q5VSR6	Homo sapiens
P06753	Homo sapiens
P33232	Escherichia coli (strain K12)
P55060-3;P55060;F8W904;B4DUC5;B4DM67	Homo sapiens
B7ZM82;B3KVH1;O95785;O95785-2	Homo sapiens
P09832	Escherichia coli (strain K12)
O43395;E7EVD1	Homo sapiens
Q8NFC6	Homo sapiens
Q96ST3	Homo sapiens
O95782-2;O95782	Homo sapiens
Q15293;B7Z1M1;E9PP27	Homo sapiens
A6NNK5;Q12888;F8VY86;Q12888-2;H7BZY0	Homo sapiens
P09152	Escherichia coli (strain K12)
P0A7J7	Escherichia coli (strain K12)
P69801	Escherichia coli (strain K12)
P67809;E7ETA0;H0Y449	Homo sapiens
E7ES35;Q5R3I4;H7C2L7;A9UJP8	Homo sapiens
P0ACQ4	Escherichia coli (strain K12)
