protein	taxon	H1	H2	H3	L1	L2	L3
P37108	Homo sapiens	28.1815352950711	28.0068337722666	28.0069407495053	27.1335944139335	27.9693900347591	27.8692660583656
Q96P70	Homo sapiens	26.1210571190003	25.8934233769603	26.4361571839539	25.4212399443205	25.7197061187236	25.8116418232011
Q9Y2U8	Homo sapiens	22.398508859181	23.5427409493682	24.0422658858691	25.1241178401179	25.2855975073786	25.008512400235
Q9BTD8-4;Q9BTD8-2;Q9BTD8-3;Q9BTD8	Homo sapiens	23.3371525612922	22.6110599288445	23.6750835373742	19.5196055411948	23.2375099151897	22.6012303438223
Q9P258	Homo sapiens	22.5451237954979	20.3599253917894	22.1856485682389	21.8362646001785	22.8804497059822	21.577546844727
Q9UPT8	Homo sapiens	23.9469055607369	23.8869743748666	22.2931685109319	23.5742701411574	23.8668397172154	23.4881206055754
P00959	Escherichia coli (strain K12)	25.0533714336636	22.377533583669	25.5448349965697	21.7051851878821	21.9492767288892	22.5466316832549
O00231	Homo sapiens	23.6669824321163	24.884135110267	24.5394314721554	24.5337403600776	24.5747898335871	24.7177466981229
P0A8I8	Escherichia coli (strain K12)	25.1251037859491	25.2409994474276	24.3854811729681	21.710449966087	22.6714598658392	22.4009596736252
P0A8T7	Escherichia coli (strain K12)	21.9858613888902	20.4084168213457	22.4449835145826	15.8835979074554	17.3772105303886	17.7036062248063
P07954-2;P07954	Homo sapiens	21.8002553346463	21.2647060256318	19.8541926920593	23.2550827565656	22.7714677074311	22.7466725861488
P0A7J3	Escherichia coli (strain K12)	29.6776965525229	29.4755476932068	30.0545259480197	27.5155539144328	28.4235418852315	28.4070588289484
P0A9Q7	Escherichia coli (strain K12)	23.5857749472685	23.4905708355137	23.4351717256264	19.5935005463604	21.0546387613001	21.0838818088635
Q14008;Q14008-3;Q14008-2	Homo sapiens	24.0258046391699	23.4677458344661	24.665790435545	24.2776744785127	24.8215774256679	24.2140083743306
O95801;Q5TA95	Homo sapiens	22.4692622236691	22.7975269634443	21.666700776341	22.3841112922478	22.1739881546188	22.2248507585969
Q7Z5L9-2;Q7Z5L9	Homo sapiens	21.9132385914293	22.0213039860204	18.8532486294956	20.2025160568012	18.0246419058888	22.9297099026855
P16659	Escherichia coli (strain K12)	25.4576373809918	26.1377624438474	26.3584203479124	23.1713790124044	23.3866655976976	23.6986936465932
P0ABQ0	Escherichia coli (strain K12)	25.6399213691085	25.2554069698425	24.8905967882679	23.4496000619263	23.6674156413504	23.5019100562624
Q7Z5L9-2;Q7Z5L9	Homo sapiens	20.862116688572	19.9511993256597	21.4984811171811	19.7823199951431	20.9161943739333	21.2072908254849
P10121	Escherichia coli (strain K12)	25.4813917342912	24.7317954859166	24.5433901341146	22.0920693084426	22.8146810295112	21.7515228112941
Q9H7E9;Q9H7E9-2	Homo sapiens	21.0282352379044	21.8077416837616	22.7925512252017	20.4085204818481	21.6583997863567	22.1157853774164
Q96ST3	Homo sapiens	22.5857520289762	22.3675171341847	22.5965064467659	21.1941219966435	21.7612152042032	21.4345101373286
P09152	Escherichia coli (strain K12)	25.4559143857867	25.8213341258308	25.7522326042676	22.9865385678597	24.1382117933076	24.1196529398853
P0A9Q7	Escherichia coli (strain K12)	28.7747987198207	28.6321816778916	28.7547447112787	25.9691265047482	27.4032437837162	27.2362621267952
P0A7J7	Escherichia coli (strain K12)	28.6266228219705	28.3506017547952	29.3561128073321	26.6715516484039	26.9483768570107	27.1751234121026
P0ACQ4	Escherichia coli (strain K12)	23.3513770982634	24.6162190200361	20.072347225107	22.6826680357824	21.6847451966463	21.7416002973351
P31327;H0YGP4;P31327-2	Homo sapiens	28.9808998334864	28.4728200966293	28.982369527475	27.6627518108964	28.4087601682364	28.4775755374166
Q9Y2T2	Homo sapiens	21.7093985463304	21.3892679143402	23.3788832695774	21.5471731956834	22.8765581632652	22.6906391601311
P0ADG4	Escherichia coli (strain K12)	25.0953892958146	24.8200683048383	24.0510077528965	19.2766923909828	21.4037963723132	20.6034053980054
Q59385	Escherichia coli (strain K12)	24.1689793220434	23.8545275335603	22.8077613335194	20.9395533893649	20.7597126716898	22.1865858053239
P0ACB7	Escherichia coli (strain K12)	25.4367290768159	25.0501359460168	25.1591941386949	20.9361059161277	23.2452207568533	22.1368359515587
O94906-2;O94906	Homo sapiens	23.5161703511934	22.7252147930629	22.1780678672831	23.1828483493155	22.05936690769	22.1864951315665
P27306	Escherichia coli (strain K12)	25.0652964766573	25.3925731792576	24.6961482749868	23.6468030245642	24.9673244268355	23.8975375071339
P07813	Escherichia coli (strain K12)	25.1142608668404	25.1824922564608	25.7633951531995	23.5330273899415	24.8104410170064	24.5321951458799
