p.value	estimate	method	df.df	taxonomy	index	qval
4.61057630144973e-07	1.33579604305379	Welch Two Sample t-test	3.33156511135063	Escherichia coli (strain K12)	1	0.00144267205600013
5.76031964863299e-07	1.15804331378375	Welch Two Sample t-test	3.31764118828291	Escherichia coli (strain K12)	2	0.00144267205600013
2.37439145805208e-06	1.2120001610211	Welch Two Sample t-test	3.99956708761163	Escherichia coli (strain K12)	3	0.00254732416414941
3.37001320426193e-06	1.15009828658924	Welch Two Sample t-test	3.98190909393753	Escherichia coli (strain K12)	4	0.00254732416414941
3.38536925151291e-06	1.0807057303117	Welch Two Sample t-test	3.96889427092844	Escherichia coli (strain K12)	5	0.00254732416414941
3.47673620311295e-06	-0.568524883167837	Welch Two Sample t-test	3.96342361042729	Homo sapiens	6	0.00254732416414941
3.5598461068169e-06	0.970562543789779	Welch Two Sample t-test	3.97402447996268	Escherichia coli (strain K12)	7	0.00254732416414941
4.95915863113654e-06	1.00166197765961	Welch Two Sample t-test	3.98902526258041	Escherichia coli (strain K12)	8	0.00310505319792037
6.78740358134809e-06	1.28016965769543	Welch Two Sample t-test	3.99920634772729	Escherichia coli (strain K12)	9	0.00377756717099695
7.87486441284626e-06	1.10177762433758	Welch Two Sample t-test	3.99984541068303	Escherichia coli (strain K12)	10	0.00394451958439469
9.08211270104205e-06	-0.611253052780701	Welch Two Sample t-test	3.81068924721391	Homo sapiens	11	0.00406840909222715
1.04052197063944e-05	1.23859869581765	Welch Two Sample t-test	3.91369874258325	Escherichia coli (strain K12)	12	0.00406840909222715
1.05588576959379e-05	1.2989410399212	Welch Two Sample t-test	3.96800964061872	Escherichia coli (strain K12)	13	0.00406840909222715
1.24935281809806e-05	1.15648087628254	Welch Two Sample t-test	3.7058955008335	Escherichia coli (strain K12)	14	0.00447000590418084
1.69894391961126e-05	1.39859694858204	Welch Two Sample t-test	3.80539727530488	Escherichia coli (strain K12)	15	0.00540226045714444
