"","Pathway Name","Resource Identifier","Adjusted p-value","Genes Mapped","Pathway Size"
"","Neutrophil degranulation","R-HSA-6798695","0.0","9","479"
"","Immune System","R-HSA-168256","0.0","15","2050"
"","Innate Immune System","R-HSA-168249","0.0","10","1109"
"","mRNA Splicing - Major Pathway","R-HSA-72163","0.0011","4","180"
"","Metabolism of RNA","R-HSA-8953854","0.0","10","666"
"","mRNA Splicing","R-HSA-72172","0.0012","4","188"
"","Processing of Capped Intron-Containing Pre-mRNA","R-HSA-72203","0.0002","5","240"
"","Apoptosis","R-HSA-109581","0.0066","3","168"
"","Programmed Cell Death","R-HSA-5357801","0.0069","3","171"
"","Regulation of Apoptosis","R-HSA-169911","0.0108","2","53"
"","Platelet degranulation","R-HSA-114608","0.0036","3","128"
"","Platelet activation, signaling and aggregation","R-HSA-76002","0.0184","3","261"
"","Response to elevated platelet cytosolic Ca2+","R-HSA-76005","0.004","3","133"
"","Hemostasis","R-HSA-109582","0.0308","4","675"
"","rRNA modification in the nucleus and cytosol","R-HSA-6790901","0.0133","2","60"
"","rRNA processing","R-HSA-72312","0.0014","4","203"
"","rRNA processing in the nucleus and cytosol","R-HSA-8868773","0.0012","4","193"
"","Major pathway of rRNA processing in the nucleolus and cytosol","R-HSA-6791226","0.0011","4","183"
"","Metabolism","R-HSA-1430728","0.0","16","2095"
"","Metabolism of carbohydrates","R-HSA-71387","0.0029","4","274"
"","Purine salvage","R-HSA-74217","0.0462","1","13"
"","Metabolism of nucleotides","R-HSA-15869","0.0253","2","102"
"","Binding and Uptake of Ligands by Scavenger Receptors","R-HSA-2173782","0.025","2","101"
"","Scavenging by Class A Receptors","R-HSA-3000480","0.0023","2","19"
"","Glucose metabolism","R-HSA-70326","0.002","3","91"
"","Gluconeogenesis","R-HSA-70263","0.0051","2","34"
"","Glycolysis","R-HSA-70171","0.0012","3","71"
"","TRAF6 mediated NF-kB activation","R-HSA-933542","0.0034","2","26"
"","Toll Like Receptor 3 (TLR3) Cascade","R-HSA-168164","0.0248","2","99"
"","MyD88 cascade initiated on plasma membrane","R-HSA-975871","0.0211","2","85"
"","Activation of DNA fragmentation factor","R-HSA-211227","0.0462","1","13"
"","MyD88-independent TLR4 cascade","R-HSA-166166","0.0248","2","100"
"","Cytosolic sensors of pathogen-associated DNA","R-HSA-1834949","0.0159","2","68"
"","Toll Like Receptor 2 (TLR2) Cascade","R-HSA-181438","0.0246","2","98"
