	Organism	hpd_2.5	hpd_97.5	mc_error	mean	n_peptides	sd
A0A075B716, H0YN88, P08708		-0.1693522510646035	-0.005511395772605399	0.0003954711386243719	-0.08572334140632355	2.0	0.04130954917982662
A0A087WTP3, Q92945		-0.16456253786161135	0.025140662635158684	0.0004503283953043001	-0.07309147887089182	2.0	0.048167702328611936
A0A087WUS0, E7ETK0, P62847		-0.5765266430930498	-0.3034761988705197	0.000662781828214367	-0.43735096973402326	2.0	0.07042625628466015
A0A087WV22, F8W7C6, P27635, X1WI28		-0.3209209453848383	0.003842868929910148	0.000863048907652811	-0.15183712948740075	2.0	0.08209280337763808
A0A087WV97, Q8WU79, X6RCC3		0.09526555355502242	0.4251928620417529	0.0008714753367131199	0.25270245391296237	2.0	0.0843406119382048
A0A087WVQ9, P68104, Q5VTE0		-0.07098673287171063	0.06890909691604104	0.0003597376503894645	-0.0015091980118914045	2.0	0.034527912595016065
A0A087WXU3, A0FGR8, H7BXI1		-0.13317322765379047	0.06728179909307053	0.0005239009469633165	-0.028825469894960952	2.0	0.051209411871662315
A0A087WZM2, D6REQ6, D6RHI9, O00584		-0.7892332729870613	-0.3900357261934251	0.0010213515388075628	-0.5903981047025	2.0	0.1015228924675975
A0A087X0X3, P52272		-0.5902845212710287	-0.2742121852161372	0.0008308407053877542	-0.4230941112985146	2.0	0.08188437658136592
A0A0A0MRA5, B7Z4B8, M0R3F1, Q9BUJ2		-0.4922823005352117	-0.20149522138938214	0.0007824400571122587	-0.3412512669654542	2.0	0.07504894346492569
A0A0A0MRR7, P09234		-0.3653110097526109	-0.16289863312694064	0.0004855143969995202	-0.26145956766569745	2.0	0.05216014036600876
A0A0A0MSK5, H0Y4R4, J3KN66, Q5JTV8		-0.12427217476391439	0.07331671536692763	0.000567067388422777	-0.027244445438841604	2.0	0.050561371702540485
A0A0A0MTI5, B8ZWD1, P07108		-0.3901628081695814	-0.2207162330439323	0.00039669689465004034	-0.30215362123826134	2.0	0.043852793231784044
A0A0C4DGC5, P02545		0.13015921547786813	0.3724604654274768	0.0006247207032296665	0.24934743096756715	2.0	0.06179883467742264
A0A0C4DGS1, P39656		-0.25871324888460356	-0.08014581472060822	0.00047208101866146984	-0.16801005710180356	2.0	0.04539677292591598
A0A0D9SF20, A0A0U1RRM4, A6NLN1, P26599		-0.248293499663089	0.013795182360015756	0.0006912044373790199	-0.11225041914675582	2.0	0.0663555729305501
A0A0R4J2E8, A8MXP9, B3KM87, P43243, Q68E03		-0.12165012403043107	0.025588734688267945	0.000394689201269627	-0.0466037686774737	2.0	0.03784585911410173
A0A0R4J2E8, A8MXP9, D6R991, D6REM6, P43243		-0.26206198007467196	-0.02852547724944099	0.0006146257661188306	-0.1446424364205546	2.0	0.05951467301927901
