protein	taxon	PD7511.GDTHP1.A_C2	PD7512.GDTHP1.A_C1	PD7513.GDTHP1.A_C2	PD7508.GDTHP1.A_C1	PD7509.GDTHP1.A_C2	PD7510.GDTHP1.A_C1
P07954	NA	16.166172995714	16.2885172021505	16.6406109537075	16.1934487260305	16.5088418175976	16.8167190955782
P26641	NA	15.7096028279062	15.5174367257353	15.4520979178683	16.2036636733651	16.1557766555118	15.9351540863677
Q08211	NA	17.0560794365014	16.9097040073868	17.1187516440487	17.4184614465605	17.2428428485207	17.1772891354299
H3BPE7, P35637	NA	18.5357148421325	18.5200319846238	18.3907142723244	18.2163581779352	18.6629154608926	18.6681054141175
P62851	NA	18.6774249589028	19.0698291020518	18.6301973414203	18.8345056786988	18.9626085448399	18.706696526054
A0A087X054, Q9Y4L1	NA	14.8881476897337	15.0200111876264	15.3315867190356	17.3251515260422	16.1056308620527	15.5845210565355
P31146	NA	17.3187964216097	16.4053741087481	17.4773646873826	17.284095413839	17.6825926798749	17.4919950009029
Q15233	NA	15.556749189192	15.2686442236278	15.8611813609352	15.2752382992253	15.6945312601443	15.6037895591313
F5H2F4, P11586	NA	16.3351834440309	15.880454193178	16.1203098575075	16.4344734067775	16.0724270707674	16.3751175964513
P37837	NA	12.486625014634	16.6875137415665	13.3054385355092	16.741535660899	13.2439206672086	16.8036817298857
Q15084	NA	17.5747799109383	17.7737277233884	17.5316872515018	17.4131003232263	16.9462311572728	18.3163978993295
P10809	NA	20.0100222415593	20.2094500859785	19.7648132033786	20.1935774648331	19.8973705852892	20.5791535435444
P02545, Q3BDU5	NA	17.0935527328666	16.8146832663187	16.9326943505829	17.3633083809074	17.2974997485406	17.0475278385238
P00558	NA	20.9609743163531	21.0203601506553	21.2044488021258	20.5072955085856	20.4037425570777	21.1587724357293
Q9Y490	NA	16.307218683541	16.0881141749503	15.8820173963426	15.7296536845467	16.7603294785836	16.6493265141388
P05204	NA	17.0916987750339	16.150202339407	16.4912956514729	17.2384506628587	7.87878507947921	17.9952231249491
Q7KZF4	NA	14.3176410879849	14.6564856783856	15.1090168614537	15.5563410661553	15.1654205440492	15.2421537579451
E9PEX6, P09622	NA	15.6135509426395	14.8338841783177	15.6195507291383	15.4729878542453	15.5857321124274	15.4398589293083
P62241, Q5JR95	NA	16.8467347648417	16.9379313517968	15.5319388119643	17.5712449696178	17.4459396032097	17.090140908691
P62241, Q5JR95	NA	15.8142212630229	15.7024558811362	15.583846405309	15.039260121909	15.3545048708283	17.2899187649171
A0A0C4DG17, C9J9K3, P08865	NA	18.6035091956193	18.65782363904	18.7037680059148	18.113835701027	18.7893602834387	18.3932739651587
P06748	NA	17.5949219891527	17.5557701091858	16.4033650404193	14.6209946125484	16.3328602601123	18.2078534636386
M0R0K9, Q13263	NA	15.4365636357055	16.2464480466441	15.7092792737772	17.2715089813146	16.3598182673715	15.4573634484155
P49411	NA	17.3950116716618	17.4631763727864	17.2621849032653	18.0057374392573	17.0503734812212	17.0731745731025
A0A087X054, Q9Y4L1	NA	15.1312684885676	14.8565921815842	13.7580859878738	16.4234451675975	15.7993274910433	15.5731343590547
P13796	NA	19.3011351950395	18.9807725628299	17.6499862965759	19.6128740657958	19.6320867113616	19.8120682697893
B4DDD6, H0Y5J4, Q9UJU6	NA	16.0150042867474	15.9142832707275	15.5945617371158	15.9672901350446	15.8386588451706	15.949407187215
Q09666	NA	18.2788947709695	18.0583651133446	17.8563928356952	18.1188073363281	17.572835728454	17.8951602352676
P23246	NA	16.7999405724726	16.890056623023	16.3989672662938	17.1146166451255	17.1962362719483	17.1961790714533
P04406	NA	11.4687342380646	9.98398309464762	11.6900960751383	16.3858617714372	17.2696213498869	16.7368194910531
Q08211	NA	16.7269350469911	16.3348794257436	16.4637596283225	16.6849444516343	16.5854448087321	16.1847703306964
P51572	NA	16.9730280662859	16.651896545683	15.5561587937835	17.513042159652	17.2157682052835	16.731923321197
P00558	NA	18.1886290706574	17.6610061152352	18.0533165659168	14.1469651867118	17.3067534605599	18.4876608120823
P09874	NA	17.3437251160433	16.7336586337109	17.9339494825091	17.6652906563931	17.5955627146665	17.6271207616848
P53396	NA	16.9134388537187	17.5050524596077	17.1548263915977	17.6572457702269	17.6358471054601	17.2438960847655
E7EQR6, F5H282, P17987	NA	17.2994862025154	13.2247107045737	17.3274993934281	15.3219234513923	15.0073083270087	15.3606822305884
A0A0B4J1Z1, C9JAB2, Q16629	NA	17.4587404529146	17.6821430507207	17.5241706016145	17.858103591408	17.7141167979295	17.5518729171915
Q9Y490	NA	16.0964724241686	15.7421510316688	14.633146612992	16.7942693314585	16.293451513842	16.6147974335731
